team_name,team_id,month,total_market,competitor_demand,firm_demand,competitor_price,beginning_inventory,arrival_qty,units_sold,ending_inventory,in_transit,production_order,pipeline_units,months_of_cover,forecast_error,service_level,revenue_amt,cogs_amt,inventory_holding_amt,stockout_penalty_amt,forecast_made,price,ai_price,ai_forecast_qty,ai_production_order
Team 1A,1,1,66.0,29,37,100.0,100,0,37,63,100,100,163.0,4.075,-3,1.0,3330.0,1850.0,630.0,0.0,40,90.0,100.0,33,100
Team 1A,1,2,84.0,41,43,81.0,63,0,43,20,125,25,145.0,3.2222222222222223,-2,1.0,3870.0,2150.0,200.0,0.0,45,90.0,90.0,37,50
Team 1A,1,3,104.0,47,57,81.0,20,100,57,63,125,100,188.0,3.418181818181818,2,1.0,4845.0,2850.0,630.0,0.0,55,85.0,90.0,52,100
Team 1A,1,4,108.0,64,44,76.0,63,25,44,44,150,50,194.0,3.5272727272727273,-11,1.0,4180.0,2200.0,440.0,0.0,55,95.0,85.0,52,50
Team 1A,1,5,134.0,71,63,76.0,44,100,63,81,100,50,181.0,3.290909090909091,8,1.0,5355.0,3150.0,810.0,0.0,55,85.0,95.0,57,50
Team 1A,1,6,164.0,88,76,76.0,81,50,76,55,110,60,165.0,2.75,16,1.0,6460.0,3800.0,550.0,0.0,60,85.0,85.0,63,100
Team 1A,1,7,268.0,133,135,76.0,55,50,105,0,210,150,210.0,2.8,60,0.7777777777777778,8400.0,5250.0,0.0,600.0,75,80.0,80.0,82,150
Team 1A,1,8,322.0,159,163,76.0,0,60,60,0,500,350,500.0,3.7037037037037037,28,0.36809815950920244,4680.0,3000.0,0.0,2060.0,135,78.0,78.0,212,350
Team 1A,1,9,384.0,266,118,83.0,0,150,118,32,350,0,382.0,3.82,18,1.0,11800.0,5900.0,320.0,0.0,100,100.0,77.0,180,0
Team 1A,1,10,302.0,194,108,91.0,32,350,108,274,50,50,324.0,2.7,-12,1.0,10800.0,5400.0,2740.0,0.0,120,100.0,91.0,130,100
Team 1A,1,11,350.0,166,184,100.0,274,0,184,90,200,150,290.0,2.230769230769231,54,1.0,16560.0,9200.0,900.0,0.0,130,90.0,95.0,118,200
Team 1A,1,12,400.0,189,211,110.0,90,50,140,0,250,100,250.0,1.7857142857142858,71,0.6635071090047393,15400.0,7000.0,0.0,1420.0,140,110.0,88.0,133,300
Team 1B,2,1,66.0,29,37,100.0,100,0,37,63,0,0,63.0,0.9264705882352942,-31,1.0,3330.0,1850.0,630.0,0.0,68,90.0,100.0,33,200
Team 1B,2,2,84.0,48,36,81.0,63,0,36,27,50,50,77.0,2.566666666666667,6,1.0,3564.0,1800.0,270.0,0.0,30,99.0,90.0,31,100
Team 1B,2,3,104.0,73,31,81.0,27,0,27,0,130,80,130.0,5.6521739130434785,8,0.8709677419354839,3105.0,1350.0,0.0,80.0,23,115.0,99.0,23,50
Team 1B,2,4,108.0,79,29,81.0,0,50,29,21,160,80,181.0,7.24,4,1.0,3335.0,1450.0,210.0,0.0,25,115.0,72.0,26,0
Team 1B,2,5,134.0,56,78,89.0,21,80,78,23,80,0,103.0,1.8727272727272728,23,1.0,6240.0,3900.0,230.0,0.0,55,80.0,98.0,45,50
Team 1B,2,6,164.0,61,103,97.0,23,80,103,0,80,80,80.0,1.4814814814814814,49,1.0,8755.0,5150.0,0.0,0.0,54,85.0,78.0,54,150
Team 1B,2,7,268.0,225,43,76.0,0,0,0,0,130,50,130.0,2.6530612244897958,-6,0.0,0.0,0.0,0.0,860.0,49,150.0,85.0,59,150
Team 1B,2,8,322.0,231,91,83.0,0,80,80,0,100,50,100.0,1.8181818181818181,36,0.8791208791208791,8720.0,4000.0,0.0,220.0,55,109.0,113.0,55,100
Team 1B,2,9,384.0,320,64,91.0,0,50,50,0,150,100,150.0,3.658536585365854,23,0.78125,7500.0,2500.0,0.0,280.0,41,150.0,96.0,46,100
Team 1B,2,10,302.0,252,50,100.0,0,50,50,0,180,80,180.0,2.8125,-14,1.0,7500.0,2500.0,0.0,0.0,64,150.0,81.0,64,150
Team 1B,2,11,350.0,232,118,110.0,0,100,100,0,80,0,80.0,1.0666666666666667,43,0.847457627118644,12100.0,5000.0,0.0,360.0,75,121.0,125.0,71,150
