team_name,total_revenue,total_profit,avg_gross_margin,avg_service_level,avg_stockout_rate,avg_revenue_growth,avg_market_share,avg_rpi,mape,avg_forecast_accuracy,avg_forecast_bias,avg_inventory_turnover,avg_inv_turnover_annualized,avg_price_elasticity,avg_cps,avg_ppi,avg_months_of_cover
AI Team,116562.0,35132.0,0.4741,0.9367,0.0633,0.1813,0.5133,0.05,0.2271,0.7729,1.3333,79.3603,952.3235,-4.4546,0.0008,0.4353,3.5104
Team 1A,95680.0,32630.0,0.4435,0.9008,0.0992,0.2292,0.4741,0.0692,0.1883,0.8117,19.0833,99.2403,1190.8837,-5.0938,0.0075,0.3835,3.1103
Team 1B,76149.0,38989.0,0.5441,0.8445,0.1555,0.0755,0.3453,0.2927,0.3296,0.6704,13.9167,154.3156,1851.7869,-1.6274,0.057,0.4784,2.6457
Team 2A,95626.0,24916.0,0.3911,0.949,0.051,0.1606,0.502,0.076,0.2091,0.7909,11.1667,154.7881,1857.4571,-2.5852,0.0096,0.3445,3.6908
Team 2B,94985.0,4895.0,0.2404,0.9885,0.0115,0.1851,0.5562,0.029,0.3469,0.6531,-11.8333,286.6788,3440.1461,-1.6073,0.029,0.2057,3.5864
Team 3A,123634.0,44754.0,0.4964,0.9497,0.0503,0.2087,0.5082,0.0581,0.2277,0.7723,9.9167,112.7843,1353.4113,-21.7349,0.0061,0.4593,3.4156
Team 4A,93912.0,35342.0,0.4667,0.7966,0.2034,0.2865,0.4897,0.029,0.1757,0.8243,20.25,112.1247,1345.4963,4.0472,0.0078,0.3435,2.4082
Team 4B,101445.0,28195.0,0.3834,0.9526,0.0474,0.174,0.5261,0.0476,0.1805,0.8195,9.0,235.4379,2825.2547,-4.1922,0.0067,0.3441,2.9879
Team 5A,99909.0,27409.0,0.3868,0.9721,0.0279,0.1572,0.5017,0.0686,0.1539,0.8461,4.8333,226.8527,2722.2329,-4.145,0.0053,0.3587,3.1789
Team 5B,118172.0,55122.0,0.5146,0.9372,0.0628,0.1745,0.4693,0.091,0.2053,0.7947,10.1667,110.9115,1330.9382,-1.8926,0.012,0.4617,2.7548
Team 6A,99083.0,35053.0,0.4439,0.8252,0.1748,1.0319,0.5035,0.0164,0.1482,0.8518,1.1667,72.8314,873.9765,-5.2189,0.0144,0.3465,2.217
Team 6B,92095.0,17285.0,0.3321,0.9245,0.0755,0.2513,0.515,0.0334,0.2682,0.7318,4.3333,68.8947,826.7364,-4.8881,0.0166,0.285,3.001
